dateOfSleep,duration_min,minutesAsleep,efficiency,deep_sleep_min,light_sleep_min,rem_sleep_min,wake_min,deep_ratio,rem_ratio,wake_ratio,avg_hr,hrv_sdnn
2019-12-17,349.0,309,97,52,240,17,40,16.83,5.5,11.46,64.91,14.65
2019-12-18,377.0,329,94,30,253,46,48,9.12,13.98,12.73,65.8,14.86
2019-12-19,344.0,310,96,22,218,70,34,7.1,22.58,9.88,66.16,14.94
2019-12-20,294.0,267,95,14,210,43,27,5.24,16.1,9.18,66.14,13.43
2019-12-21,415.0,385,99,29,257,99,30,7.53,25.71,7.23,65.06,16.99
2019-12-22,444.0,403,97,37,305,61,41,9.18,15.14,9.23,66.75,17.66
2019-12-23,478.0,430,95,37,329,64,48,8.6,14.88,10.04,63.15,16.71
2019-12-24,410.0,369,98,17,315,37,41,4.61,10.03,10.0,65.1,13.88
2019-12-25,480.0,423,97,57,279,87,57,13.48,20.57,11.88,60.43,12.72
2019-12-26,450.0,406,96,23,288,95,44,5.67,23.4,9.78,71.15,27.29
2019-12-27,460.0,417,94,69,270,78,43,16.55,18.71,9.35,58.67,11.71
2019-12-28,486.0,439,94,39,331,69,47,8.88,15.72,9.67,64.08,12.18
2019-12-29,472.0,418,96,56,278,84,54,13.4,20.1,11.44,65.85,15.46
2019-12-30,378.0,338,98,43,253,42,40,12.72,12.43,10.58,60.89,10.87
2019-12-31,406.0,364,97,62,231,71,42,17.03,19.51,10.34,61.68,11.42
2020-01-01,397.0,360,98,47,251,62,37,13.06,17.22,9.32,61.09,14.07
2020-01-02,560.0,510,96,73,331,106,50,14.31,20.78,8.93,60.91,13.17
2020-01-03,422.0,368,96,43,239,86,54,11.68,23.37,12.8,70.03,24.25
2020-01-04,520.0,459,99,16,368,75,61,3.49,16.34,11.73,73.08,30.68
2020-01-05,481.0,430,96,46,368,16,51,10.7,3.72,10.6,61.05,12.86
2020-01-06,349.0,318,99,65,217,36,31,20.44,11.32,8.88,62.08,12.99
2020-01-06,349.0,318,99,65,217,36,31,20.44,11.32,8.88,62.08,12.99
2020-01-07,352.0,315,98,12,242,61,37,3.81,19.37,10.51,73.08,25.89
2020-01-08,389.0,327,90,21,218,88,62,6.42,26.91,15.94,61.08,13.29
2020-01-09,402.0,348,93,48,236,64,54,13.79,18.39,13.43,67.26,17.13
2020-01-10,384.0,344,93,44,238,62,40,12.79,18.02,10.42,65.06,14.79
2020-01-11,536.0,475,96,0,363,112,61,0.0,23.58,11.38,61.45,14.02
2020-01-12,463.0,414,98,19,356,39,49,4.59,9.42,10.58,57.7,11.31
2020-01-13,328.0,302,99,45,233,24,26,14.9,7.95,7.93,65.84,14.94
2020-01-14,396.0,364,97,19,283,62,32,5.22,17.03,8.08,69.52,27.5
2020-01-15,432.0,382,93,34,308,40,50,8.9,10.47,11.57,63.26,14.99
2020-01-16,393.0,351,99,35,263,53,42,9.97,15.1,10.69,68.32,19.9
2020-01-17,398.0,350,96,76,181,93,48,21.71,26.57,12.06,63.84,13.95
2020-01-18,362.0,311,99,47,257,7,51,15.11,2.25,14.09,72.13,27.65
2020-01-19,376.0,337,97,66,238,33,39,19.58,9.79,10.37,62.65,12.22
2020-01-20,412.0,359,99,41,269,49,53,11.42,13.65,12.86,62.03,13.37
2020-01-21,405.0,365,97,47,256,62,40,12.88,16.99,9.88,60.64,14.06
2020-01-22,331.0,302,99,30,251,21,29,9.93,6.95,8.76,61.28,12.47
2020-01-23,393.0,349,98,9,274,66,44,2.58,18.91,11.2,68.58,18.27
2020-01-24,448.0,392,94,59,258,75,56,15.05,19.13,12.5,64.13,13.42
2020-01-25,437.0,387,97,73,220,94,50,18.86,24.29,11.44,73.18,28.97
2020-01-26,440.0,381,95,33,280,68,59,8.66,17.85,13.41,62.43,15.71
2020-01-27,350.0,307,99,54,236,17,43,17.59,5.54,12.29,62.01,13.49
2020-01-28,364.0,326,97,27,261,38,38,8.28,11.66,10.44,63.88,15.87
2020-01-29,361.0,325,99,57,211,57,36,17.54,17.54,9.97,58.56,10.23
2020-01-30,385.0,343,98,44,269,30,42,12.83,8.75,10.91,67.36,20.02
2020-01-31,388.0,349,97,40,223,86,39,11.46,24.64,10.05,66.25,13.39
2020-02-01,376.0,326,97,15,275,36,50,4.6,11.04,13.3,66.22,14.72
2020-02-02,407.0,372,99,32,288,52,35,8.6,13.98,8.6,63.69,12.83
2020-02-03,419.0,369,95,37,233,99,50,10.03,26.83,11.93,63.31,13.34
2020-02-04,369.0,331,98,39,273,19,38,11.78,5.74,10.3,59.89,12.23
2020-02-05,338.0,300,99,7,256,37,38,2.33,12.33,11.24,74.2,27.92
2020-02-05,338.0,300,99,7,256,37,38,2.33,12.33,11.24,74.2,27.92
2020-02-06,358.0,317,96,32,255,30,41,10.09,9.46,11.45,76.94,27.53
2020-02-07,384.0,340,95,20,233,87,44,5.88,25.59,11.46,61.18,11.48
2020-02-08,472.0,425,99,35,355,35,47,8.24,8.24,9.96,62.73,14.19
2020-02-09,427.0,379,94,37,281,61,48,9.76,16.09,11.24,59.08,12.59
2020-02-10,362.0,327,99,25,224,78,35,7.65,23.85,9.67,75.14,27.74
2020-02-11,391.0,359,97,74,189,96,32,20.61,26.74,8.18,62.64,12.38
2020-02-12,367.0,338,98,45,215,78,29,13.31,23.08,7.9,60.7,12.86
2020-02-13,366.0,330,98,42,264,24,36,12.73,7.27,9.84,67.73,21.45
2020-02-14,286.0,247,100,22,198,27,39,8.91,10.93,13.64,68.55,10.96
2020-02-15,479.0,423,94,39,370,14,56,9.22,3.31,11.69,65.5,11.69
2020-02-16,480.0,417,96,65,311,41,63,15.59,9.83,13.12,60.24,11.11
2020-02-17,344.0,289,95,39,238,12,55,13.49,4.15,15.99,65.32,12.84
2020-02-18,428.0,389,97,30,337,22,39,7.71,5.66,9.11,60.95,12.71
2020-02-19,385.0,352,99,15,315,22,33,4.26,6.25,8.57,62.52,15.35
2020-02-20,343.0,318,99,35,218,65,25,11.01,20.44,7.29,57.75,11.41
2020-02-21,306.0,263,98,0,238,25,43,0.0,9.51,14.05,71.45,24.7
2020-02-22,418.0,378,97,35,277,66,40,9.26,17.46,9.57,63.53,12.68
2020-02-23,456.0,410,95,55,294,61,46,13.41,14.88,10.09,60.08,12.32
2020-02-24,364.0,315,95,19,227,69,49,6.03,21.9,13.46,61.47,12.3
2020-02-25,304.0,264,97,12,238,14,40,4.55,5.3,13.16,64.05,11.99
2020-02-26,322.0,296,97,38,205,53,26,12.84,17.91,8.07,71.33,25.22
2020-02-27,361.0,319,96,36,217,66,42,11.29,20.69,11.63,73.46,21.82
2020-02-28,358.0,318,94,57,193,68,40,17.92,21.38,11.17,67.97,11.5
2020-02-29,414.0,362,94,40,267,55,52,11.05,15.19,12.56,75.05,16.63
2020-03-01,378.0,346,96,21,268,57,32,6.07,16.47,8.47,69.08,16.55
2020-03-02,408.0,366,94,37,233,96,42,10.11,26.23,10.29,60.86,12.35
2020-03-03,404.0,374,99,93,168,113,30,24.87,30.21,7.43,62.07,13.42
2020-03-04,342.0,300,96,43,214,43,42,14.33,14.33,12.28,63.87,11.85
2020-03-05,405.0,358,97,29,261,68,47,8.1,18.99,11.6,74.28,29.51
2020-03-06,419.0,369,94,58,252,59,50,15.72,15.99,11.93,62.66,11.74
2020-03-06,419.0,369,94,58,252,59,50,15.72,15.99,11.93,62.66,11.74
2020-03-07,451.0,392,97,40,316,36,59,10.2,9.18,13.08,63.38,14.61
2020-03-08,413.0,371,96,32,285,54,42,8.63,14.56,10.17,60.67,14.65
2020-03-09,374.0,334,98,60,237,37,40,17.96,11.08,10.7,58.49,10.58
2020-03-10,370.0,326,97,22,250,54,44,6.75,16.56,11.89,74.76,27.27
2020-03-12,375.0,331,97,37,288,6,44,11.18,1.81,11.73,60.65,13.76
2020-03-13,433.0,389,94,80,215,94,44,20.57,24.16,10.16,57.97,12.83
2020-03-14,488.0,446,98,64,320,62,42,14.35,13.9,8.61,65.61,23.44
2020-03-15,352.0,301,95,57,195,49,51,18.94,16.28,14.49,60.18,13.75
2020-03-16,402.0,345,98,25,249,71,57,7.25,20.58,14.18,57.17,11.76
2020-03-17,535.0,473,100,36,378,59,62,7.61,12.47,11.59,59.11,15.59
2020-03-18,468.0,427,99,56,289,82,41,13.11,19.2,8.76,59.28,13.65
2020-03-19,378.0,332,97,30,233,69,46,9.04,20.78,12.17,57.66,12.56
2020-03-20,380.0,341,99,37,230,74,39,10.85,21.7,10.26,58.26,11.53
2020-03-21,433.0,381,98,40,261,80,52,10.5,21.0,12.01,63.11,15.17
2020-03-22,454.0,408,98,36,314,58,46,8.82,14.22,10.13,59.05,10.64
2020-03-23,423.0,375,99,45,269,61,48,12.0,16.27,11.35,56.49,11.48
2020-03-24,492.0,438,98,43,327,68,54,9.82,15.53,10.98,59.97,11.08
2020-03-25,403.0,347,99,67,240,40,56,19.31,11.53,13.9,60.26,12.77
2020-03-26,459.0,415,98,54,324,37,44,13.01,8.92,9.59,60.81,13.23
2020-03-27,345.0,307,97,59,196,52,38,19.22,16.94,11.01,60.92,13.58
2020-03-28,402.0,354,96,5,290,59,48,1.41,16.67,11.94,65.41,16.21
2020-03-29,474.0,349,99,55,256,38,65,15.76,10.89,13.71,59.21,10.19
2020-03-30,423.0,386,98,35,281,70,37,9.07,18.13,8.75,59.04,9.64
2020-03-31,381.0,345,98,44,234,67,36,12.75,19.42,9.45,62.67,14.2
